fileId,fileUrls from query AERDT_L2_VIIRS_SNPP--5200 2024-01-01..2024-08-15 x-88y42 x-87.5y41.5[5],size
7939796213,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/018/AERDT_L2_VIIRS_SNPP.A2024018.1700.002.2024019052535.nc,7150009
7947789650,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/022/AERDT_L2_VIIRS_SNPP.A2024022.1724.002.2024023183755.nc,7920504
7942424186,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/019/AERDT_L2_VIIRS_SNPP.A2024019.1818.002.2024020072615.nc,8562308
7942526595,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/019/AERDT_L2_VIIRS_SNPP.A2024019.2000.002.2024020082604.nc,8336061
7945862807,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/021/AERDT_L2_VIIRS_SNPP.A2024021.1742.002.2024022060719.nc,7673591
7945956704,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/021/AERDT_L2_VIIRS_SNPP.A2024021.1924.002.2024022075725.nc,6955283
7945062353,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/020/AERDT_L2_VIIRS_SNPP.A2024020.1800.002.2024021151707.nc,8271059
7945062344,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/020/AERDT_L2_VIIRS_SNPP.A2024020.1942.002.2024021151701.nc,7619319
7947790338,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/022/AERDT_L2_VIIRS_SNPP.A2024022.1900.002.2024023183821.nc,8537286
7947790337,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/022/AERDT_L2_VIIRS_SNPP.A2024022.1906.002.2024023183823.nc,7036312
7948525540,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/023/AERDT_L2_VIIRS_SNPP.A2024023.1706.002.2024024053756.nc,7331872
7948635348,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/023/AERDT_L2_VIIRS_SNPP.A2024023.1842.002.2024024074756.nc,7909956
7948635352,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/023/AERDT_L2_VIIRS_SNPP.A2024023.1848.002.2024024074756.nc,7026108
7950401653,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/024/AERDT_L2_VIIRS_SNPP.A2024024.1824.002.2024025074902.nc,8270694
7955617885,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/026/AERDT_L2_VIIRS_SNPP.A2024026.1748.002.2024027144018.nc,7494544
7952615602,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/025/AERDT_L2_VIIRS_SNPP.A2024025.1806.002.2024026073946.nc,7690542
7952659981,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/025/AERDT_L2_VIIRS_SNPP.A2024025.1948.002.2024026083003.nc,7962698
7955617523,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/026/AERDT_L2_VIIRS_SNPP.A2024026.1930.002.2024027144009.nc,7712597
7958147446,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/028/AERDT_L2_VIIRS_SNPP.A2024028.1712.002.2024029054121.nc,7243548
7957190953,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/027/AERDT_L2_VIIRS_SNPP.A2024027.1730.002.2024028120042.nc,7169846
7957190992,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/027/AERDT_L2_VIIRS_SNPP.A2024027.1906.002.2024028120036.nc,12040234
7957190978,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/027/AERDT_L2_VIIRS_SNPP.A2024027.1912.002.2024028120038.nc,7525861
7958283374,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/028/AERDT_L2_VIIRS_SNPP.A2024028.1848.002.2024029073114.nc,11659372
7958284526,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/028/AERDT_L2_VIIRS_SNPP.A2024028.1854.002.2024029073114.nc,7504309
7959793092,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/029/AERDT_L2_VIIRS_SNPP.A2024029.1830.002.2024030074612.nc,11055228
7961801165,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/030/AERDT_L2_VIIRS_SNPP.A2024030.1812.002.2024031073207.nc,9871074
7959660989,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/029/AERDT_L2_VIIRS_SNPP.A2024029.1654.002.2024030060809.nc,7150284
7963873343,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/031/AERDT_L2_VIIRS_SNPP.A2024031.1936.002.2024032081244.nc,10188553
7961881257,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/030/AERDT_L2_VIIRS_SNPP.A2024030.1954.002.2024031082218.nc,11243393
7971780289,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/031/AERDT_L2_VIIRS_SNPP.A2024031.1754.002.2024036182531.nc,8202973
7967164910,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/033/AERDT_L2_VIIRS_SNPP.A2024033.1854.002.2024034073400.nc,12311691
7965423243,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/032/AERDT_L2_VIIRS_SNPP.A2024032.1736.002.2024033060313.nc,8410798
7965505696,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/032/AERDT_L2_VIIRS_SNPP.A2024032.1918.002.2024033074327.nc,9194280
7967164902,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/033/AERDT_L2_VIIRS_SNPP.A2024033.1900.002.2024034073402.nc,8045155
7970280670,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/034/AERDT_L2_VIIRS_SNPP.A2024034.1700.002.2024035225459.nc,7558153
