fileId,fileUrls from query AERDT_L2_VIIRS_SNPP--5200 2023-05-01..2024-08-14 x-88.9y42.6 x-86.9y41.1[5],size
7787711431,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/135/AERDT_L2_VIIRS_SNPP.A2023135.1748.002.2023214063007.nc,12046055
7787711588,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/135/AERDT_L2_VIIRS_SNPP.A2023135.1930.002.2023214063059.nc,11994050
7787712184,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/136/AERDT_L2_VIIRS_SNPP.A2023136.1912.002.2023214063014.nc,12750802
7787712169,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/136/AERDT_L2_VIIRS_SNPP.A2023136.1730.002.2023214063129.nc,11007671
7787713909,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/138/AERDT_L2_VIIRS_SNPP.A2023138.1830.002.2023214063129.nc,13467281
7787713556,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/137/AERDT_L2_VIIRS_SNPP.A2023137.1712.002.2023214063037.nc,10226370
7787713647,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/137/AERDT_L2_VIIRS_SNPP.A2023137.1848.002.2023214063022.nc,14126899
7787713564,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/137/AERDT_L2_VIIRS_SNPP.A2023137.1854.002.2023214063135.nc,11999976
7787714100,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/138/AERDT_L2_VIIRS_SNPP.A2023138.1836.002.2023214063120.nc,10977420
7787722184,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/138/AERDT_L2_VIIRS_SNPP.A2023138.1654.002.2023214063428.nc,10647565
7787717794,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/138/AERDT_L2_VIIRS_SNPP.A2023138.2018.002.2023214063248.nc,13621018
7787722344,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/139/AERDT_L2_VIIRS_SNPP.A2023139.1636.002.2023214063412.nc,10532827
7787714138,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/139/AERDT_L2_VIIRS_SNPP.A2023139.1812.002.2023214063206.nc,10904528
7787715321,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/139/AERDT_L2_VIIRS_SNPP.A2023139.1954.002.2023214063225.nc,12407028
7787716991,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/140/AERDT_L2_VIIRS_SNPP.A2023140.1754.002.2023214063238.nc,11148197
